,HashIndex,TreeIndex,SortedListIndex
AlicesAdventuresinWonderland,69,48,43,30227,30227
TheCalloftheWild,37,43,42,35229,35229
TreasureIsland,72,89,103,72741,72741
Frankenstein,80,93,110,78085,78085
PrideandPrejudice,135,165,163,125068,125068
GreatExpectations,206,260,282,189732,189732
MobyDick,275,347,369,218975,218975
Ulysses,550,501,498,260855,260855
Middlemarch,405,539,678,321712,321712
MothersRemedies,608,690,913,445672,445672
WarandPeace,750,1096,987,571733,571733
SurgicalAnatomy,786,1099,1140,673485,673485
TheLordOfTheRings,1009,1329,1726,890236,890236
Shakespeare,1530,1805,1981,966260,966260
