,HashIndex,TreeIndex,SortedListIndex
AlicesAdventuresinWonderland,24,11,7,30227,30227
TheCalloftheWild,15,9,8,35229,35229
TreasureIsland,19,15,13,72741,72741
Frankenstein,19,15,11,78085,78085
PrideandPrejudice,26,20,15,125068,125068
GreatExpectations,34,31,29,189732,189732
MobyDick,48,39,35,218975,218975
Ulysses,58,48,44,260855,260855
Middlemarch,68,43,48,321712,321712
MothersRemedies,83,66,68,445672,445672
WarandPeace,93,92,40,571733,571733
SurgicalAnatomy,106,57,93,673485,673485
TheLordOfTheRings,98,96,90,890236,890236
Shakespeare,168,178,142,966260,966260
